grid,alt,average_lap_time,minimum_lap_time,PRCP,TAVG,TMAX,TMIN,country_CompletionStatus_1,nationality_CompletionStatus_1,binned_circuits_CompletionStatus_1,trackType_CompletionStatus_1,country_CompletionStatus_2,nationality_CompletionStatus_2,binned_circuits_CompletionStatus_2,trackType_CompletionStatus_2
1,7,122432.55102040815,120218,0.0,80.0,96.0,68.0,0.1771117166212534,0.20956576463184395,0.23568649249583104,0.2372434830837493,0.8228882833787466,0.7904342353681558,0.7643135075041689,0.7627565169162507
4,153,96854.01960784312,90678,0.02,70.0,79.0,60.0,0.22033898305084745,0.31690140845070425,0.2534509202453988,0.2372434830837493,0.7796610169491526,0.6830985915492958,0.7465490797546013,0.7627565169162507
21,45,107865.03921568627,101704,0.0,67.0,78.0,54.0,0.21703853955375252,0.20956576463184395,0.2775876817792985,0.2372434830837493,0.7829614604462475,0.7904342353681558,0.7224123182207014,0.7627565169162507
19,161,103047.10909090909,99979,0.69,68.0,80.0,55.0,0.2532894736842105,0.3043478260715459,0.21361058601134214,0.2372434830837493,0.7467105263157895,0.6956521739284541,0.7863894139886578,0.7627565169162507
8,678,77960.07142857142,73050,0.0,59.0,67.0,53.0,0.2719298245614035,0.292358803986711,0.24474959612277866,0.2372434830837493,0.7280701754385965,0.7076411960132891,0.7552504038772213,0.7627565169162507
10,7,101879.45614035089,97743,0.0,81.0,90.0,73.0,0.1771117166212534,0.2408376963350785,0.23568649249583104,0.2372434830837493,0.8228882833787466,0.7591623036649214,0.7643135075041689,0.7627565169162507
11,161,107521.09090909091,103925,0.0,70.0,84.0,55.0,0.2532894736842105,0.1484375,0.21361058601134214,0.2372434830837493,0.7467105263157895,0.8515625,0.7863894139886578,0.7627565169162507
3,161,106489.85714285713,100445,0.0,79.0,90.0,67.0,0.2532894736842105,0.2583941605839416,0.21361058601134214,0.2372434830837493,0.7467105263157895,0.7416058394160584,0.7863894139886578,0.7627565169162507
18,401,144657.61363636365,114335,0.0,70.0,76.0,63.0,0.23008849557522126,0.1484375,0.2775876817792985,0.2372434830837493,0.7699115044247787,0.8515625,0.7224123182207014,0.7627565169162507
22,109,80413.95384615385,78050,0.0,64.0,78.0,57.0,0.2196969696969697,0.2788104089219331,0.2534509202453988,0.2372434830837493,0.7803030303030303,0.7211895910780669,0.7465490797546013,0.7627565169162507
18,103,98379.09375,79563,0.3,73.0,81.0,64.0,0.2914285714285714,0.15463917525773194,0.23568649249583104,0.2372434830837493,0.7085714285714285,0.8453608247422679,0.7643135075041689,0.7627565169162507
4,18,104156.71428571428,97449,0.0,85.0,94.0,77.0,0.2607594936708861,0.20935960591133004,0.23568649249583104,0.2372434830837493,0.739240506329114,0.7906403940886699,0.7643135075041689,0.7627565169162507
6,153,95782.60784313726,88733,0.0,63.0,72.0,53.0,0.22033898305084745,0.20956576463184395,0.2534509202453988,0.2372434830837493,0.7796610169491526,0.7904342353681558,0.7465490797546013,0.7627565169162507
4,13,77538.50724637683,76075,0.0,58.0,66.0,48.0,0.3347368421052632,0.20935960591133004,0.2775876817792985,0.2870452528837622,0.6652631578947369,0.7906403940886699,0.7224123182207014,0.7129547471162379
6,264,88005.47142857143,85260,0.0,86.0,98.0,74.0,0.2294455066921606,0.2063694267515924,0.2534509202453988,0.2372434830837493,0.7705544933078394,0.7936305732484077,0.7465490797546013,0.7627565169162507
3,785,73971.95774647887,70540,0.0,78.0,86.0,70.0,0.2612244897959184,0.2063694267515924,0.2775876817792985,0.2372434830837493,0.7387755102040816,0.7936305732484077,0.7224123182207014,0.7627565169162507
12,4,107274.60714285713,103851,0.0,76.0,86.0,68.0,0.2196969696969697,0.2408376963350785,0.21361058601134214,0.2870452528837622,0.7803030303030303,0.7591623036649214,0.7863894139886578,0.7129547471162379
17,4,110415.61403508774,103674,0.0,76.0,84.0,67.0,0.2196969696969697,0.20935960591133004,0.21361058601134214,0.2870452528837622,0.7803030303030303,0.7906403940886699,0.7863894139886578,0.7129547471162379
