grid,trackType,year,TAVG,isHistoric,oneHot_circuits_1,oneHot_circuits_2,oneHot_circuits_3,oneHot_circuits_4,oneHot_circuits_5,oneHot_circuits_6,alt_trans,PRCP_trans,normalized_minLapTime,normalized_avgLapTime
21,0,2011,57.0,1,0,0,1,0,0,0,6.373319789577013,0.10436001532424287,1.02507374883791,0.027079312834050955
16,0,2000,53.0,1,0,0,1,0,0,0,6.373319789577013,0.06765864847381486,1.0124828867504756,0.00949507311850543
6,1,2012,76.0,0,0,0,0,0,1,0,2.4849066497880004,0.0,0.978815748036744,-0.00630228116064158
1,0,2020,70.0,0,0,0,0,1,0,0,6.530877627725885,0.0,0.9812420375601978,0.012090148003504131
20,0,2020,77.0,0,0,0,1,0,0,0,2.7080502011022096,0.0,0.968879062964802,-0.005963810236864332
17,0,2004,69.0,0,1,0,0,0,0,0,5.605802066295998,0.0,1.0183113569216486,0.012336546995522458
10,0,2009,63.0,1,1,0,0,0,0,0,5.135798437050261,0.0,0.9992728497589588,-0.0017789004942203273
6,1,2013,53.0,1,1,0,0,0,0,0,2.7080502011022096,0.0,0.9994199532483518,0.01902970924716528
5,0,1996,69.0,1,1,0,0,0,0,0,5.081404364984463,0.0,0.9879577881607192,-0.032544651609351494
14,0,2005,65.0,1,0,1,0,0,0,0,6.013715156042802,0.8671004876833833,0.9841804605062822,-0.015475597171001663
9,1,2002,61.0,1,0,1,0,0,0,0,3.0445224377234235,0.058268908123975824,1.0351992514988488,0.005737039216398289
3,0,2000,71.0,1,1,0,0,0,0,0,5.135798437050261,0.0,0.9956267993389354,-0.005963810236864332
17,1,2021,54.0,1,1,0,0,0,0,0,2.7080502011022096,0.11332868530700327,0.9995253023655648,0.003334788122872607
8,0,2020,66.0,1,1,0,0,0,0,0,5.081404364984463,0.0,1.0011445888644943,-0.008441221989770193
18,0,2000,84.0,0,0,0,1,0,0,0,3.258096538021482,0.0,1.0067711990701709,-0.0021286839117936494
10,0,2001,63.0,1,0,0,1,0,0,0,6.373319789577013,0.0,1.0124657722652195,0.011237608477113414
6,0,1997,56.0,0,0,0,0,1,0,0,3.80666248977032,0.2468600779315258,0.9820596571737076,-0.024670310086855125
4,0,2002,84.0,0,0,0,1,0,0,0,3.258096538021482,0.0,0.9739759183633055,-0.03807144444920367
7,0,1997,65.0,0,0,0,0,1,0,0,5.4638318050256105,0.04879016416943205,0.9862858223777546,-0.02750121865769936
16,0,2013,72.0,1,0,0,1,0,0,0,6.373319789577013,0.0,1.035852005017583,-0.002629672695712819
9,1,2013,64.0,0,0,0,1,0,0,0,2.5649493574615367,0.0,0.9602924852269452,-0.012965501076735723
13,0,2010,61.0,0,0,0,1,0,0,0,4.709530201312334,0.22314355131420974,0.970733166685092,-0.005963810236864332
