STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-20,0,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-21,0,72
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-22,0,64
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-23,0,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-24,0,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-25,0,72
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-26,0,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-27,0,76
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-28,0,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-29,0,74
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-04-30,0,68
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-01,0,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-02,0,71
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-03,0.04,75
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-04,0,65
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-05,0,72
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-06,0.01,63
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-07,0.08,56
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-08,0.03,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-09,0,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-10,0,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-11,0.03,59
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-12,0,66
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-13,0.15,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-14,0.05,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-15,0.02,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-16,0.03,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-17,0,60
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-18,0,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-19,0,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-20,0,56
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-21,0,54
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-22,0,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-23,0,59
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-24,0.03,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-25,0,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-26,0.05,59
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-27,0.24,56
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-28,0,52
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-29,0.16,53
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-30,0.33,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-05-31,0.64,64
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-01,0,61
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-02,0.37,58
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-03,0.04,55
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-04,0.06,57
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-05,0.01,52
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-06,0,52
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-07,0.09,51
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-08,0,56
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-09,0.01,51
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-10,0.02,55
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-11,0.05,50
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-12,0.01,53
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-13,0,54
ASN00086038,"Melbourne, AS",-37.7276,144.9066,78.4,1950-06-14,0,53
