raceId,driverId,CompletionStatus,alt,grid,trackType,average_lap_time,minimum_lap_time,year,PRCP,TAVG,isHistoric,oneHot_circuits_1,oneHot_circuits_2,oneHot_circuits_3,oneHot_circuits_4,oneHot_circuits_5,oneHot_circuits_6,alt_trans,PRCP_trans,normalized_minLapTime,normalized_avgLapTime
977,839,1,678,9,0,70351.27142857143,68659,2017,0.0,77.0,0,0,0,0,1,0,0,6.530877627725885,0.0,0.981165240007431,-0.021741839407751436
977,840,1,678,18,0,70622.1,68777,2017,0.0,77.0,0,0,0,0,1,0,0,6.530877627725885,0.0,0.9828515083527445,-0.01789956902900114
978,1,1,153,1,0,95831.96078431373,90621,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,0.9786367296101599,-0.020858056095491625
978,4,0,153,20,0,100933.625,94263,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,1.0179675135260315,0.03100881727559471
978,8,1,153,2,0,96549.01960784312,91517,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,0.9883128368008851,-0.013403450731565136
978,13,1,153,14,0,97854.58,93562,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,1.0103972555565022,2.8193771348407106e-05
978,20,1,153,3,0,97674.88235294117,91872,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,0.992146562306139,-0.0018098688457976588
978,154,1,153,10,0,98345.24,92290,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,0.9966606390982407,0.005029839775723411
978,807,1,153,5,0,97167.43137254902,92577,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,0.9997600171827697,-0.007018718176728418
978,815,1,153,6,0,97838.44,93504,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,1.0097709004035311,-0.00013675845879846052
978,817,1,153,19,0,97125.19607843137,91874,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,0.9921681607596896,-0.007453477800261486
978,822,1,153,9,0,96107.70588235294,90905,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,0.981703710014363,-0.017984806469392753
978,825,1,153,16,0,98059.18,92683,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,1.0009047352209581,0.0021168686493322608
978,826,1,153,12,0,98783.8,93594,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,1.0107428308133137,0.009479318386744484
978,828,1,153,18,0,98546.48,93119,2017,0.02,70.0,1,1,0,0,0,0,0,5.081404364984463,0.01980262729617973,1.0056131980950165,0.007074009739555616
