raceId,driverId,constructorId,grid,position,positionText,positionOrder,laps,fastestLap,rank,fastestLapSpeed,familyStatus,Completion Status,year,circuitId,country,alt,isHistoric,trackType,nationality,total_lap_time,average_lap_time,minimum_lap_time
8,4,4,10,14,14,14,59,36,12,226.11,4,1,2009,9,UK,153,1,0,Spanish,4982225,84444.49153,81852
8,5,1,13,,R,20,36,32,15,224.557,2,0,2009,9,UK,153,1,0,Finnish,3134722,87075.61111,82418
8,6,3,5,11,11,11,60,14,11,226.129,4,1,2009,9,UK,153,1,0,Japanese,5043351,84055.85,81845
8,7,5,17,,R,19,37,26,16,224.427,2,0,2009,9,UK,153,1,0,French,3231477,87337.21622,82466
8,8,6,9,8,8,8,60,14,7,226.653,4,1,2009,9,UK,153,1,0,Finnish,5038950,83982.5,81656
8,9,2,12,13,13,13,59,41,14,225.202,4,1,2009,9,UK,153,1,0,Polish,4981760,84436.61017,82182
8,10,7,8,9,9,9,60,51,8,226.611,4,1,2009,9,UK,153,1,0,German,5039151,83985.85,81671
8,12,4,14,12,12,12,59,25,17,224.32,4,1,2009,9,UK,153,1,0,Brazilian,4980929,84422.52542,82505
8,13,6,11,4,4,4,60,22,6,227.062,4,1,2009,9,UK,153,1,0,Brazilian,5014371,83572.85,81509
8,15,7,4,7,7,7,60,17,9,226.237,4,1,2009,9,UK,153,1,0,Italian,5037635,83960.58333,81806
8,16,10,20,17,17,17,59,50,20,221.714,4,1,2009,9,UK,153,1,0,German,5033434,85312.44068,83475
8,17,9,3,2,2,2,60,57,2,228.728,4,1,2009,9,UK,153,1,0,Australian,4984516,83075.26667,80915
8,18,23,6,6,6,6,60,54,4,227.956,4,1,2009,9,UK,153,1,0,British,5015613,83593.55,81189
8,20,9,1,1,1,1,60,16,1,229.238,4,1,2009,9,UK,153,1,0,German,4969328,82822.13333,80735
8,21,10,16,10,10,10,60,20,10,226.226,4,1,2009,9,UK,153,1,0,Italian,5040850,84014.16667,81810
8,22,23,2,3,3,3,60,18,5,227.285,4,1,2009,9,UK,153,1,0,Brazilian,5010503,83508.38333,81429
8,67,5,19,18,18,18,59,24,19,223.762,4,1,2009,9,UK,153,1,0,Swiss,5036002,85355.9661,82711
9,1,1,5,18,18,18,59,46,15,194.331,4,1,2009,20,Germany,578,1,0,British,5887232,99783.59322,95367
9,2,2,11,10,10,10,60,42,10,195.991,4,1,2009,20,Germany,578,1,0,German,5865235,97753.91667,94559
9,3,3,15,4,4,4,60,50,7,196.315,4,1,2009,20,Germany,578,1,0,German,5824409,97073.48333,94403
9,4,4,12,7,7,7,60,49,1,198.498,4,1,2009,20,Germany,578,1,0,Spanish,5828198,97136.63333,93365
9,5,1,6,8,8,8,60,59,17,194.011,4,1,2009,20,Germany,578,1,0,Finnish,5862002,97700.03333,95524
9,6,3,13,12,12,12,60,49,5,196.659,4,1,2009,20,Germany,578,1,0,Japanese,5866186,97769.76667,94238
9,7,5,19,,R,20,18,10,20,190.083,6,0,2009,20,Germany,578,1,0,French,1836706,102039.2222,97498
9,8,6,9,,R,19,34,4,18,192.889,6,0,2009,20,Germany,578,1,0,Finnish,3353781,98640.61765,96080
9,9,2,16,14,14,14,60,47,9,196.037,4,1,2009,20,Germany,578,1,0,Polish,5872865,97881.08333,94537
9,10,7,20,9,9,9,60,40,16,194.327,4,1,2009,20,Germany,578,1,0,German,5864767,97746.11667,95369
9,12,4,10,13,13,13,60,46,12,195.337,4,1,2009,20,Germany,578,1,0,Brazilian,5871638,97860.63333,94876
9,13,6,8,3,3,3,60,53,8,196.201,4,1,2009,20,Germany,578,1,0,Brazilian,5819216,96986.93333,94458
9,15,7,14,17,17,17,60,52,2,197.885,4,1,2009,20,Germany,578,1,0,Italian,5894280,98238,93654
9,16,10,7,15,15,15,60,43,14,194.333,4,1,2009,20,Germany,578,1,0,German,5875251,97920.85,95366
9,17,9,1,1,1,1,60,37,3,197.151,4,1,2009,20,Germany,578,1,0,Australian,5803310,96721.83333,94003
9,18,23,3,5,5,5,60,53,6,196.63,4,1,2009,20,Germany,578,1,0,British,5826919,97115.31667,94252
9,20,9,4,2,2,2,60,42,4,196.97,4,1,2009,20,Germany,578,1,0,German,5812562,96876.03333,94089
9,21,10,18,11,11,11,60,54,13,194.465,4,1,2009,20,Germany,578,1,0,Italian,5865637,97760.61667,95301
9,22,23,2,6,6,6,60,54,11,195.749,4,1,2009,20,Germany,578,1,0,Brazilian,5827778,97129.63333,94676
9,67,5,17,16,16,16,60,24,19,192.49,4,1,2009,20,Germany,578,1,0,Swiss,5893535,98225.58333,96279
10,1,1,4,1,1,1,70,16,4,191.219,4,1,2009,11,Hungary,264,0,0,British,5903876,84341.08571,82479
10,2,2,15,11,11,11,70,65,14,189.375,4,1,2009,11,Hungary,264,0,0,German,5974488,85349.82857,83282
10,3,3,5,4,4,4,70,65,3,191.245,4,1,2009,11,Hungary,264,0,0,German,5930843,84726.32857,82468
10,4,4,1,,R,18,15,4,18,188.815,6,0,2009,11,Hungary,264,0,0,Spanish,1377511,91834.06667,83529
10,5,1,6,5,5,5,70,63,8,190.115,4,1,2009,11,Hungary,264,0,0,Finnish,5938268,84832.4,82958
10,6,3,9,9,9,9,70,55,11,189.608,4,1,2009,11,Hungary,264,0,0,Japanese,5972650,85323.57143,83180
10,8,6,7,2,2,2,70,70,2,191.323,4,1,2009,11,Hungary,264,0,0,Finnish,5915405,84505.78571,82434
10,9,2,18,13,13,13,70,65,12,189.507,4,1,2009,11,Hungary,264,0,0,Polish,5977922,85398.88571,83224
10,10,7,13,6,6,6,70,63,5,191.157,4,1,2009,11,Hungary,264,0,0,German,5939113,84844.47143,82506
10,12,4,14,12,12,12,70,65,15,189.067,4,1,2009,11,Hungary,264,0,0,Brazilian,5975388,85362.68571,83418
10,15,7,11,8,8,8,70,65,13,189.423,4,1,2009,11,Hungary,264,0,0,Italian,5972048,85314.97143,83261
10,16,10,17,,R,19,1,,,,6,0,2009,11,Hungary,264,0,0,German,104266,104266,104266
10,17,9,3,3,3,3,70,65,1,192.498,4,1,2009,11,Hungary,264,0,0,Australian,5920762,84582.31429,81931
10,18,23,8,7,7,7,70,57,6,190.694,4,1,2009,11,Hungary,264,0,0,British,5958964,85128.05714,82706
10,20,9,2,,R,17,29,18,17,188.978,3,0,2009,11,Hungary,264,0,0,German,2555011,88103.82759,83457
10,21,10,16,14,14,14,69,40,10,189.621,4,1,2009,11,Hungary,264,0,0,Italian,5906239,85597.66667,83174
10,22,23,12,10,10,10,70,55,9,189.964,4,1,2009,11,Hungary,264,0,0,Brazilian,5973132,85330.45714,83024
10,67,5,10,16,16,16,69,69,7,190.122,4,1,2009,11,Hungary,264,0,0,Swiss,5951399,86252.15942,82955
10,153,5,19,15,15,15,69,69,16,189.008,4,1,2009,11,Hungary,264,0,0,Spanish,5924598,85863.73913,83444
11,1,1,1,2,2,2,57,57,4,196.943,4,1,2009,12,Spain,4,0,2,British,5753647,100941.1754,99056
11,2,2,11,11,11,11,57,53,13,195.663,4,1,2009,12,Spain,4,0,2,German,5800111,101756.3333,99704
11,3,3,7,5,5,5,57,52,6,196.401,4,1,2009,12,Spain,4,0,2,German,5772159,101265.9474,99329
11,4,4,8,6,6,6,57,46,10,196.076,4,1,2009,12,Spain,4,0,2,Spanish,5779033,101386.5439,99494
